,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,MACD,signal,Buy_Signal_Price,Sell_Signal_Price
133,2021-07-08,2037.25,2056.9,2021.75,2028.45,2042.9580180619964,12291,1281,25109997.0,4085.0,33.24,35.15,-8.8,-81.76956762834607,-53.41196550449832,,
134,2021-07-07,2024.05,2041.65,2013.95,2037.15,2028.328823626464,12122,1111,24587402.0,4835.0,39.89,27.7,13.1,-84.26002613347146,-59.581577630292955,,
135,2021-07-06,1984.0,2058.9,1984.0,2023.1,2034.3882984190943,48643,4183,98958750.0,11855.0,24.37,74.9,39.1,-86.37180956474094,-64.93962401718255,,
136,2021-07-05,1996.55,2005.55,1975.0,1982.8,1992.9601433049709,6699,772,13350840.0,2087.0,31.15,30.55,-13.75,-90.25686143180701,-70.00307150010745,,
137,2021-07-02,1990.0,2003.85,1977.9,1986.55,1988.2019781363872,7684,884,15277344.0,2233.0,29.06,25.95,-3.45,-91.97299196661015,-74.397055593408,,
138,2021-07-01,2031.0,2031.0,1992.8,1995.75,2002.0538321167885,9864,1418,19748259.0,3758.0,38.1,38.2,-35.25,-91.53551028343236,-77.82474653141287,,
139,2021-06-30,2053.15,2053.15,2009.65,2016.05,2032.3215293316473,10279,1345,20890233.0,3517.0,34.22,43.5,-37.1,-88.53024104124506,-79.96584543337931,,
140,2021-06-29,2049.0,2063.35,2041.3,2053.15,2051.66912759936,8127,1092,16673915.0,2216.0,27.27,22.05,4.15,-82.20724957182529,-80.4141262610685,,
141,2021-06-28,2030.2,2059.05,2024.8,2051.1,2047.9403119376125,10002,947,20483499.0,1567.0,15.67,34.25,20.9,-76.48003688698827,-79.62730838625247,2051.1,
142,2021-06-25,2039.0,2047.0,2028.85,2040.6,2036.6674655482325,6676,715,13596792.0,1739.0,26.05,18.15,1.6,-71.95894390727835,-78.09363549045764,,
143,2021-06-24,2033.0,2045.95,2020.0,2027.25,2028.7307692307688,8710,989,17670245.0,2723.0,31.26,25.95,-5.75,-68.661689362978,-76.20724626496173,,
144,2021-06-23,2064.0,2064.0,2024.85,2030.6,2048.5504907613504,149156,1278,305553597.0,141719.0,95.01,39.15,-33.4,-65.02866441387732,-73.97152989474485,,
145,2021-06-22,2035.55,2078.5,2029.95,2052.45,2054.8594285714285,22750,1954,46748052.0,6870.0,30.2,48.55,16.9,-59.69819000174516,-71.11686191614491,,
146,2021-06-21,1995.2,2041.65,1988.4,2029.55,2018.56913684484,15397,1692,31079909.0,4801.0,31.18,53.25,34.35,-56.66835175860206,-68.22715988463635,,
147,2021-06-18,2054.8,2062.9,1994.25,2029.3,2024.8162438966297,16794,1570,34004764.0,1829.0,10.89,68.65,-25.5,-53.66869670475967,-65.31546724866101,,
148,2021-06-17,2010.0,2061.4,2005.95,2040.65,2040.2083468342944,15431,1725,31482455.0,4197.0,27.2,55.45,30.65,-49.801517426623604,-62.21267728425353,,
149,2021-06-16,2040.0,2052.8,2013.0,2020.7,2031.8819607358932,8099,977,16456212.0,2222.0,27.44,39.8,-19.3,-47.79559044316534,-59.329259916035895,,
150,2021-06-15,2027.7,2065.85,2027.7,2043.6,2041.4427007849745,152489,1814,311297556.0,144199.0,94.56,38.15,15.9,-43.8525355080551,-56.23391503443973,,
151,2021-06-14,2024.1,2043.6,1991.3,2040.65,2024.8601196410768,10030,987,20309347.0,2717.0,27.09,52.3,16.55,-40.49883109441521,-53.08689824643483,,
152,2021-06-11,2030.3,2044.55,2014.8,2024.1,2028.6699182326784,6971,661,14141858.0,1250.0,17.93,29.75,-6.2,-38.729987680943395,-50.21551613333655,,
153,2021-06-10,2005.1,2036.95,2005.1,2028.65,2027.03276481149,8912,898,18064916.0,1804.0,20.24,31.85,23.55,-36.53981135778531,-47.48037517822631,,
154,2021-06-09,2049.0,2049.0,1992.1,2004.2,2021.1991585852825,14024,1876,28345297.0,4113.0,29.33,56.9,-44.8,-36.35788049083476,-45.255876240748,,
